locus_tag	ftype	length_bp	gene	EC_number	COG	product
GFGBILMD_01863	CDS	684	npt	2.7.8.7		4'-phosphopantetheinyl transferase Npt
GFGBILMD_01864	CDS	975				hypothetical protein
GFGBILMD_01865	CDS	564				hypothetical protein
GFGBILMD_01866	CDS	1689				hypothetical protein
GFGBILMD_01867	CDS	327				hypothetical protein
GFGBILMD_01868	CDS	588				hypothetical protein
GFGBILMD_01869	CDS	1650	cocE_2	3.1.1.84		Cocaine esterase
GFGBILMD_01870	CDS	354	mazF9	3.1.-.-	COG2337	Endoribonuclease MazF9
GFGBILMD_01871	CDS	219	mazE9			Antitoxin MazE9
GFGBILMD_01872	CDS	1017				hypothetical protein
GFGBILMD_01873	CDS	468				hypothetical protein
GFGBILMD_01874	CDS	258				hypothetical protein
GFGBILMD_01875	CDS	432				hypothetical protein
GFGBILMD_01876	CDS	192				hypothetical protein
GFGBILMD_01877	CDS	1152				ISNCY family transposase ISBli16
GFGBILMD_01878	CDS	216				hypothetical protein
GFGBILMD_01879	CDS	312				hypothetical protein
GFGBILMD_01880	CDS	609				hypothetical protein
GFGBILMD_01881	CDS	1410				hypothetical protein
GFGBILMD_01882	CDS	813				IS481 family transposase ISChy3
	repeat_region	1148				
GFGBILMD_01883	CDS	4197				hypothetical protein
GFGBILMD_01884	CDS	675				hypothetical protein
GFGBILMD_01885	CDS	909	nanK	2.7.1.60	COG1940	N-acetylmannosamine kinase
GFGBILMD_01886	CDS	537	rplJ		COG0244	50S ribosomal protein L10
GFGBILMD_01887	CDS	393	rplL		COG0222	50S ribosomal protein L7/L12
GFGBILMD_01888	CDS	696				hypothetical protein
GFGBILMD_01889	CDS	1506		1.13.11.-	COG3670	Carotenoid cleavage oxygenase
GFGBILMD_01890	CDS	1011	mkl		COG1127	putative ribonucleotide transport ATP-binding protein mkl
GFGBILMD_01891	CDS	252				hypothetical protein
GFGBILMD_01892	CDS	156				hypothetical protein
GFGBILMD_01893	CDS	717				hypothetical protein
GFGBILMD_01894	CDS	234	mazF2	3.1.-.-	COG2337	putative endoribonuclease MazF2
GFGBILMD_01895	CDS	252				hypothetical protein
GFGBILMD_01896	CDS	438	vapC	3.1.-.-		tRNA(fMet)-specific endonuclease VapC
GFGBILMD_01897	CDS	255				hypothetical protein
GFGBILMD_01898	CDS	2364				hypothetical protein
GFGBILMD_01899	CDS	273				hypothetical protein
GFGBILMD_01900	CDS	339	vapC5_2	3.1.-.-	COG1487	Ribonuclease VapC5
GFGBILMD_01901	CDS	231				hypothetical protein
GFGBILMD_01902	CDS	3519	rpoB	2.7.7.6	COG0085	DNA-directed RNA polymerase subunit beta
GFGBILMD_01903	CDS	3951	rpoC	2.7.7.6	COG0086	DNA-directed RNA polymerase subunit beta'
GFGBILMD_01904	CDS	114	amiD_1	3.5.1.4	COG0154	Putative amidase AmiD
GFGBILMD_01905	CDS	1914		3.5.1.23		Neutral ceramidase
GFGBILMD_01906	CDS	759	end	3.1.21.2	COG0648	putative endonuclease 4
GFGBILMD_01907	CDS	843				hypothetical protein
GFGBILMD_01908	CDS	1629	aidB	1.3.99.-	COG1960	Putative acyl-CoA dehydrogenase AidB
GFGBILMD_01909	CDS	939				Putative enoyl-CoA hydratase EchA13
GFGBILMD_01910	CDS	723				hypothetical protein
GFGBILMD_01911	CDS	792	caiD_3	4.2.1.149		Carnitinyl-CoA dehydratase
GFGBILMD_01912	CDS	2895	mmpL5		COG2409	Siderophore exporter MmpL5
GFGBILMD_01913	CDS	429	mmpS5			Siderophore export accessory protein MmpS5
GFGBILMD_01914	CDS	498	mmpR5			HTH-type transcriptional regulator MmpR5
GFGBILMD_01915	CDS	498				hypothetical protein
GFGBILMD_01916	CDS	375				hypothetical protein
GFGBILMD_01917	CDS	657				hypothetical protein
GFGBILMD_01918	CDS	375	rpsL		COG0048	30S ribosomal protein S12
GFGBILMD_01919	CDS	471	rpsG		COG0049	30S ribosomal protein S7
GFGBILMD_01920	CDS	2106	fusA		COG0480	Elongation factor G
GFGBILMD_01921	CDS	1191	tuf_1		COG0050	Elongation factor Tu
GFGBILMD_01922	CDS	798				hypothetical protein
GFGBILMD_01923	CDS	828		1.-.-.-	COG1028	putative NAD-dependent oxidoreductase
GFGBILMD_01924	CDS	1221	fdr	1.18.1.2		Ferredoxin--NAD(P)(+) reductase fdr
GFGBILMD_01925	CDS	249				hypothetical protein
GFGBILMD_01926	CDS	1050				hypothetical protein
GFGBILMD_01927	CDS	597	mftR			Putative mycofactocin biosynthesis transcriptional regulator MftR
GFGBILMD_01928	CDS	90				hypothetical protein
GFGBILMD_01929	CDS	330				hypothetical protein
GFGBILMD_01930	CDS	1176	mftC	2.-.-.-	COG0535	Putative mycofactocin radical SAM maturase MftC
GFGBILMD_01931	CDS	1191	mftD	1.-.-.-	COG1304	Putative mycofactocin system heme/flavin oxidoreductase MftD
GFGBILMD_01932	CDS	666	mftE	3.5.-.-	COG1402	Putative mycofactocin system creatinine amidohydrolase family protein MftE
GFGBILMD_01933	CDS	1413	mftF	2.-.-.-	COG0463	Putative mycofactocin biosynthesis glycosyltransferase MftF
GFGBILMD_01934	CDS	1359	betA	1.1.99.1		Oxygen-dependent choline dehydrogenase
GFGBILMD_01935	CDS	756				hypothetical protein
GFGBILMD_01936	CDS	306	rpsJ		COG0051	30S ribosomal protein S10
GFGBILMD_01937	CDS	654	rplC		COG0087	50S ribosomal protein L3
GFGBILMD_01938	CDS	672	rplD		COG0088	50S ribosomal protein L4
GFGBILMD_01939	CDS	303	rplW		COG0089	50S ribosomal protein L23
GFGBILMD_01940	CDS	843	rplB		COG0090	50S ribosomal protein L2
GFGBILMD_01941	CDS	282	rpsS		COG0185	30S ribosomal protein S19
GFGBILMD_01942	CDS	594	rplV		COG0091	50S ribosomal protein L22
GFGBILMD_01943	CDS	825	rpsC		COG0092	30S ribosomal protein S3
GFGBILMD_01944	CDS	417	rplP		COG0197	50S ribosomal protein L16
GFGBILMD_01945	CDS	234	rpmC		COG0255	50S ribosomal protein L29
GFGBILMD_01946	CDS	408	rpsQ		COG0186	30S ribosomal protein S17
GFGBILMD_01947	CDS	2364				hypothetical protein
GFGBILMD_01948	CDS	900		1.8.3.7	COG1262	Formylglycine-generating enzyme
GFGBILMD_01949	CDS	861				hypothetical protein
GFGBILMD_01950	CDS	369	rplN		COG0093	50S ribosomal protein L14
GFGBILMD_01951	CDS	318	rplX		COG0198	50S ribosomal protein L24
GFGBILMD_01952	CDS	564	rplE		COG0094	50S ribosomal protein L5
GFGBILMD_01953	CDS	186	rpsZ		COG0199	30S ribosomal protein S14 type Z
GFGBILMD_01954	CDS	399	rpsH		COG0096	30S ribosomal protein S8
GFGBILMD_01955	CDS	540	rplF		COG0097	50S ribosomal protein L6
GFGBILMD_01956	CDS	369	rplR		COG0256	50S ribosomal protein L18
GFGBILMD_01957	CDS	663	rpsE		COG0098	30S ribosomal protein S5
GFGBILMD_01958	CDS	198	rpmD		COG1841	50S ribosomal protein L30
GFGBILMD_01959	CDS	441	rplO		COG0200	50S ribosomal protein L15
GFGBILMD_01960	CDS	1197				hypothetical protein
GFGBILMD_01961	CDS	633				hypothetical protein
GFGBILMD_01962	CDS	906				hypothetical protein
GFGBILMD_01963	CDS	1104		2.1.1.-	COG3315	Putative S-adenosyl-L-methionine-dependent methyltransferase
GFGBILMD_01964	CDS	657	drdA	4.1.2.-		5-deoxy-D-ribulose 1-phosphate aldolase
GFGBILMD_01965	CDS	957	yoaD	1.1.1.-	COG0111	Putative 2-hydroxyacid dehydrogenase YoaD
GFGBILMD_01966	CDS	1347	xylB	2.7.1.17	COG1070	Xylulose kinase
GFGBILMD_01967	CDS	729				hypothetical protein
GFGBILMD_01968	CDS	957		2.1.1.-	COG3315	Putative S-adenosyl-L-methionine-dependent methyltransferase
GFGBILMD_01969	CDS	1326	secY		COG0201	Protein translocase subunit SecY
GFGBILMD_01970	CDS	546	adk	2.7.4.3	COG0563	Adenylate kinase
GFGBILMD_01971	CDS	801	map-1	3.4.11.18	COG0024	Methionine aminopeptidase 1
GFGBILMD_01972	CDS	534	sigL		COG1595	ECF RNA polymerase sigma factor SigL
GFGBILMD_01973	CDS	753	rslA		COG5662	Anti-sigma-L factor RslA
GFGBILMD_01974	CDS	570				hypothetical protein
GFGBILMD_01975	CDS	537				putative protein
GFGBILMD_01976	CDS	849				hypothetical protein
GFGBILMD_01977	CDS	609				putative protein
GFGBILMD_01978	CDS	315				ISL3 family transposase IS1557
GFGBILMD_01979	CDS	519				hypothetical protein
GFGBILMD_01980	CDS	558				hypothetical protein
GFGBILMD_01981	CDS	507				hypothetical protein
GFGBILMD_01982	CDS	147	mmsB_1	1.1.1.31	COG2084	putative 3-hydroxyisobutyrate dehydrogenase
GFGBILMD_01983	CDS	1908				hypothetical protein
GFGBILMD_01984	CDS	2274				hypothetical protein
GFGBILMD_01985	CDS	258				Antitoxin VapB31
GFGBILMD_01986	CDS	429		3.1.-.-	COG1848	Ribonuclease VapC31
GFGBILMD_01987	CDS	138				hypothetical protein
GFGBILMD_01988	CDS	246				putative protein
GFGBILMD_01989	CDS	885	mmsB_2	1.1.1.31	COG2084	putative 3-hydroxyisobutyrate dehydrogenase
GFGBILMD_01990	CDS	1173	acdA_2	1.3.99.-	COG1960	Acyl-CoA dehydrogenase
GFGBILMD_01991	CDS	1533	bauC	1.2.1.-	COG1012	Putative 3-oxopropanoate dehydrogenase
GFGBILMD_01992	CDS	1755		5.4.2.12	COG0406	PE-PGRS family protein PE_PGRS11
GFGBILMD_01993	CDS	1938				putative PPE family protein PPE40
GFGBILMD_01994	CDS	171				hypothetical protein
GFGBILMD_01995	tRNA	73				tRNA-Thr(tgt)
GFGBILMD_01996	CDS	726				hypothetical protein
GFGBILMD_01997	CDS	534				IS256 family transposase IS1081
GFGBILMD_01998	tRNA	76				tRNA-His(gtg)
GFGBILMD_01999	CDS	699	orn	3.1.-.-	COG1949	Oligoribonuclease
GFGBILMD_02000	CDS	1602				hypothetical protein
GFGBILMD_02001	CDS	807				hypothetical protein
GFGBILMD_02002	CDS	1338				hypothetical protein
GFGBILMD_02003	CDS	822				hypothetical protein
GFGBILMD_02004	CDS	648				hypothetical protein
GFGBILMD_02005	CDS	1644	fadD3_1	6.2.1.41	COG0318	3-[(3aS,4S,7aS)-7a-methyl-1,5-dioxo-octahydro-1H-inden-4-yl]propanoyl:CoA ligase
GFGBILMD_02006	CDS	747	scoA	2.8.3.5	COG1788	putative succinyl-CoA:3-ketoacid coenzyme A transferase subunit A
GFGBILMD_02007	CDS	657	scoB	2.8.3.5	COG2057	putative succinyl-CoA:3-ketoacid coenzyme A transferase subunit B
GFGBILMD_02008	CDS	1590		2.1.3.1	COG4799	Methylmalonyl-CoA carboxyltransferase 12S subunit
GFGBILMD_02009	CDS	1965	accA1_1		COG4770	Acetyl-/propionyl-coenzyme A carboxylase alpha chain
GFGBILMD_02010	CDS	1185	mmgC_4	1.3.99.-	COG1960	Acyl-CoA dehydrogenase
GFGBILMD_02011	CDS	558				hypothetical protein
GFGBILMD_02012	CDS	822	citE	4.1.-.-	COG2301	Citrate lyase subunit beta-like protein
GFGBILMD_02013	CDS	1074	bkdA	1.2.4.4	COG1071	3-methyl-2-oxobutanoate dehydrogenase subunit alpha
GFGBILMD_02014	CDS	1047	bkdB	1.2.4.4	COG0022	3-methyl-2-oxobutanoate dehydrogenase subunit beta
GFGBILMD_02015	CDS	1182	bkdC	2.3.1.168	COG0508	Dihydrolipoyllysine-residue acyltransferase component of branched-chain alpha-ketoacid dehydrogenase complex
GFGBILMD_02016	CDS	426		3.1.-.-		Ribonuclease VapC38
GFGBILMD_02017	CDS	753				hypothetical protein
GFGBILMD_02018	CDS	624				hypothetical protein
GFGBILMD_02019	CDS	192				hypothetical protein
GFGBILMD_02020	CDS	4980				hypothetical protein
GFGBILMD_02021	CDS	3342				hypothetical protein
GFGBILMD_02022	CDS	2085				hypothetical protein
GFGBILMD_02023	CDS	771		4.2.1.17		putative enoyl-CoA hydratase echA14
GFGBILMD_02024	tRNA	75				tRNA-Arg(tct)
GFGBILMD_02025	CDS	1266				NCBIFAM: chloramphenicol hydrolase
GFGBILMD_02026	CDS	1476		2.3.1.20		Putative diacyglycerol O-acyltransferase
GFGBILMD_02027	CDS	1743				hypothetical protein
GFGBILMD_02028	CDS	2370	plsB	2.3.1.15	COG2937	Glycerol-3-phosphate acyltransferase
GFGBILMD_02029	CDS	507				Single-stranded DNA-binding protein
GFGBILMD_02030	CDS	1677	ettA_2		COG0488	Energy-dependent translational throttle protein EttA
GFGBILMD_02031	CDS	4875	gdh	1.4.1.2	COG2902	NAD-specific glutamate dehydrogenase
GFGBILMD_02032	CDS	417				hypothetical protein
GFGBILMD_02033	CDS	675				hypothetical protein
GFGBILMD_02034	CDS	465				hypothetical protein
GFGBILMD_02035	CDS	1563	malL	3.2.1.10	COG0366	Oligo-1,6-glucosidase
GFGBILMD_02036	CDS	387	glbO		COG2346	Group 2 truncated hemoglobin GlbO
GFGBILMD_02037	CDS	669				hypothetical protein
GFGBILMD_02038	CDS	234				hypothetical protein
GFGBILMD_02039	CDS	468				putative protein
GFGBILMD_02040	CDS	2586	pepN	3.4.11.2		Aminopeptidase N
GFGBILMD_02041	CDS	624				Thioredoxin-like reductase
GFGBILMD_02042	CDS	489	rpiB	5.3.1.6	COG0698	Ribose-5-phosphate isomerase B
GFGBILMD_02043	CDS	807	nei1_2	3.2.2.-	COG0266	Endonuclease 8 1
GFGBILMD_02044	CDS	1185				NCBIFAM: CMY2-MIR-ACT-EC family cephalosporin-hydrolyzing class C beta-lactamase
GFGBILMD_02045	tRNA	72				tRNA-Gly(tcc)
GFGBILMD_02046	tRNA	77				tRNA-Pro(tgg)
GFGBILMD_02047	CDS	1401	tig	5.2.1.8	COG0544	Trigger factor
GFGBILMD_02048	CDS	603	clpP1	3.4.21.92	COG0740	ATP-dependent Clp protease proteolytic subunit 1
GFGBILMD_02049	CDS	645	clpP2	3.4.21.92	COG0740	ATP-dependent Clp protease proteolytic subunit 2
GFGBILMD_02050	CDS	1617	jefA			Drug efflux pump JefA
GFGBILMD_02051	CDS	909	mmuM	2.1.1.10	COG2040	Homocysteine S-methyltransferase
GFGBILMD_02052	CDS	1281	clpX		COG1219	ATP-dependent Clp protease ATP-binding subunit ClpX
GFGBILMD_02053	CDS	1257				putative MFS-type transporter
GFGBILMD_02054	CDS	1962	korA	1.2.7.3	COG0674	2-oxoglutarate oxidoreductase subunit KorA
GFGBILMD_02055	CDS	1122	korB	1.2.7.3	COG1013	2-oxoglutarate oxidoreductase subunit KorB
GFGBILMD_02056	CDS	537	mobA	2.7.7.77	COG0746	putative molybdenum cofactor guanylyltransferase
GFGBILMD_02057	CDS	567	rpfE	3.-.-.-		Resuscitation-promoting factor RpfE
GFGBILMD_02058	CDS	1260		1.3.1.-	COG3268	Putative trans-acting enoyl reductase
GFGBILMD_02059	CDS	2631	valS	6.1.1.9	COG0525	Valine--tRNA ligase
GFGBILMD_02060	CDS	1464	folC	6.3.2.12	COG0285	Dihydrofolate synthase/folylpolyglutamate synthase
GFGBILMD_02061	CDS	372				hypothetical protein
GFGBILMD_02062	CDS	423	ndkA	2.7.4.6	COG0105	Nucleoside diphosphate kinase
GFGBILMD_02063	CDS	2862	rne	3.1.26.12		Ribonuclease E
GFGBILMD_02064	CDS	1476	dctA		COG1301	Aerobic C4-dicarboxylate transport protein
GFGBILMD_02065	CDS	312	rplU		COG0261	50S ribosomal protein L21
GFGBILMD_02066	CDS	261	rpmA		COG0211	50S ribosomal protein L27
GFGBILMD_02067	CDS	1455	obg	3.6.5.-	COG0536	GTPase Obg
GFGBILMD_02068	CDS	1131	proB	2.7.2.11	COG0263	Glutamate 5-kinase
GFGBILMD_02069	CDS	2217	nadE	6.3.5.1	COG0171	Glutamine-dependent NAD(+) synthetase
GFGBILMD_02070	CDS	300				hypothetical protein
GFGBILMD_02071	CDS	915	rbsK/rbiA			Bifunctional ribokinase/ribose-5-phosphate isomerase A
GFGBILMD_02072	CDS	2193				hypothetical protein
GFGBILMD_02073	CDS	801				hypothetical protein
GFGBILMD_02074	CDS	477				hypothetical protein
GFGBILMD_02075	CDS	291				hypothetical protein
GFGBILMD_02076	CDS	300				PE-PGRS family protein PE25
GFGBILMD_02077	CDS	585				PPE family protein PPE41
GFGBILMD_02078	CDS	534	ahpD	1.11.1.15	COG2128	Alkyl hydroperoxide reductase AhpD
GFGBILMD_02079	CDS	588	ahpC	1.11.1.15	COG0450	Alkyl hydroperoxide reductase C
GFGBILMD_02080	CDS	195				hypothetical protein
GFGBILMD_02081	CDS	234				hypothetical protein
GFGBILMD_02082	CDS	1248	proA	1.2.1.41	COG0014	Gamma-glutamyl phosphate reductase
GFGBILMD_02083	CDS	876				hypothetical protein
GFGBILMD_02084	CDS	1443				hypothetical protein
GFGBILMD_02085	CDS	1086		1.1.1.306		S-(hydroxymethyl)mycothiol dehydrogenase
GFGBILMD_02086	CDS	636				NCBIFAM: metallo-beta-lactamase core region
GFGBILMD_02087	CDS	1368	lnt	2.3.1.269		Apolipoprotein N-acyltransferase
GFGBILMD_02088	CDS	438				hypothetical protein
GFGBILMD_02089	CDS	1776	dnaK_3			Chaperone protein DnaK
GFGBILMD_02090	CDS	1230				hypothetical protein
GFGBILMD_02091	CDS	1287		1.14.15.14	COG2124	Methyl-branched lipid omega-hydroxylase
GFGBILMD_02092	CDS	1167				hypothetical protein
GFGBILMD_02093	CDS	1470				hypothetical protein
GFGBILMD_02094	CDS	528				hypothetical protein
GFGBILMD_02095	CDS	300				putative protein
GFGBILMD_02096	CDS	369			COG2149	putative protein
GFGBILMD_02097	CDS	330				hypothetical protein
GFGBILMD_02098	CDS	870		2.3.2.21		Cyclo(L-tyrosyl-L-tyrosyl) synthase
GFGBILMD_02099	CDS	1191		1.14.19.70		Mycocyclosin synthase
GFGBILMD_02100	CDS	915			COG0584	putative protein
GFGBILMD_02101	CDS	1380		1.-.-.-	COG0277	putative FAD-linked oxidoreductase
GFGBILMD_02102	CDS	1659				hypothetical protein
GFGBILMD_02103	CDS	804				putative HTH-type transcriptional regulator
GFGBILMD_02104	CDS	195				hypothetical protein
GFGBILMD_02105	CDS	1296				NCBIFAM: chloramphenicol hydrolase
GFGBILMD_02106	CDS	1338		2.3.1.20		Putative diacyglycerol O-acyltransferase
GFGBILMD_02107	CDS	693				putative protein
GFGBILMD_02108	CDS	1593			COG0025	putative Na(+)/H(+) exchanger
GFGBILMD_02109	CDS	849	cdh	3.6.1.26	COG2134	putative CDP-diacylglycerol pyrophosphatase
GFGBILMD_02110	CDS	234	lppO			Putative lipoprotein LppO
GFGBILMD_02111	CDS	855	sseB	2.8.1.1	COG2897	Putative thiosulfate sulfurtransferase SseB
GFGBILMD_02112	CDS	1005	mtnN_1	3.2.2.9		5'-methylthioadenosine/S-adenosylhomocysteine nucleosidase
GFGBILMD_02113	CDS	1164		4.4.1.13	COG1168	Putative cystathionine beta-lyase
GFGBILMD_02114	CDS	639				hypothetical protein
GFGBILMD_02115	CDS	903	dhmA1	3.8.1.5		Haloalkane dehalogenase 1
GFGBILMD_02116	CDS	453				putative protein
GFGBILMD_02117	CDS	1068		1.-.-.-	COG0667	putative oxidoreductase
GFGBILMD_02118	CDS	1944	htpG		COG0326	Chaperone protein HtpG
GFGBILMD_02119	CDS	819		3.-.-.-		putative metallo-hydrolase
GFGBILMD_02120	CDS	660	cut2	3.1.1.74		putative cutinase cut2
GFGBILMD_02121	CDS	243				putative protein
GFGBILMD_02122	CDS	924				hypothetical protein
GFGBILMD_02123	CDS	210				hypothetical protein
GFGBILMD_02124	CDS	1290			COG4908	putative protein
GFGBILMD_02125	CDS	264				hypothetical protein
GFGBILMD_02126	CDS	426				hypothetical protein
GFGBILMD_02127	CDS	822			COG1073	putative protein
GFGBILMD_02128	CDS	159				hypothetical protein
GFGBILMD_02129	CDS	216				hypothetical protein
GFGBILMD_02130	CDS	717				hypothetical protein
GFGBILMD_02131	CDS	333				hypothetical protein
GFGBILMD_02132	CDS	93				hypothetical protein
GFGBILMD_02133	tRNA	75				tRNA-Met(cat)
GFGBILMD_02134	CDS	456	xerC_1			Tyrosine recombinase XerC
GFGBILMD_02135	CDS	168				hypothetical protein
GFGBILMD_02136	CDS	153				hypothetical protein
GFGBILMD_02137	CDS	342				hypothetical protein
GFGBILMD_02138	CDS	597				hypothetical protein
GFGBILMD_02139	CDS	270				hypothetical protein
GFGBILMD_02140	CDS	855			COG2128	putative protein
GFGBILMD_02141	CDS	1374				hypothetical protein
GFGBILMD_02142	CDS	1518				hypothetical protein
GFGBILMD_02143	CDS	873	ugpA_1		COG1175	sn-glycerol-3-phosphate transport system permease protein UgpA
GFGBILMD_02144	CDS	825	araQ_1		COG0395	L-arabinose transport system permease protein AraQ
GFGBILMD_02145	CDS	1323				hypothetical protein
GFGBILMD_02146	CDS	624			COG0589	Universal stress protein
GFGBILMD_02147	CDS	303				hypothetical protein
GFGBILMD_02148	CDS	879			COG0589	Universal stress protein
GFGBILMD_02149	CDS	1398	yhdG_2		COG0531	putative amino acid permease YhdG
GFGBILMD_02150	CDS	546	rocD	2.6.1.13	COG4992	Ornithine aminotransferase
GFGBILMD_02151	CDS	666	rocD2	2.6.1.13		Ornithine aminotransferase 2
GFGBILMD_02152	CDS	774		3.5.3.18	COG1834	N(G),N(G)-dimethylarginine dimethylaminohydrolase
GFGBILMD_02153	CDS	447	asnC		COG1522	Regulatory protein AsnC
GFGBILMD_02154	CDS	849			COG0619	putative protein
GFGBILMD_02155	CDS	2094			COG1122	putative ABC transporter ATP-binding protein
GFGBILMD_02156	CDS	492				hypothetical protein
GFGBILMD_02157	CDS	1149				putative PE family protein PE23
GFGBILMD_02158	CDS	1548	narK_3		COG2223	Nitrate/nitrite transporter NarK
GFGBILMD_02159	CDS	528	lppP			Putative lipoprotein LppP
GFGBILMD_02160	CDS	387				hypothetical protein
GFGBILMD_02161	CDS	129				hypothetical protein
GFGBILMD_02162	CDS	1647	mez	1.1.1.38	COG0281	Putative malate oxidoreductase [NAD]
GFGBILMD_02163	CDS	1614	stp			Multidrug resistance protein Stp
GFGBILMD_02164	CDS	933	cysK1	2.5.1.47	COG0031	O-acetylserine sulfhydrylase
GFGBILMD_02165	CDS	690	cysE	2.3.1.30	COG1045	Serine acetyltransferase
GFGBILMD_02166	CDS	969				hypothetical protein
GFGBILMD_02167	CDS	1119				hypothetical protein
GFGBILMD_02168	CDS	957				hypothetical protein
GFGBILMD_02169	CDS	2664	mmpL9			putative transport protein MmpL9
GFGBILMD_02170	CDS	1242				hypothetical protein
GFGBILMD_02171	tRNA	74				tRNA-Asn(gtt)
GFGBILMD_02172	CDS	435				hypothetical protein
GFGBILMD_02173	CDS	294				hypothetical protein
GFGBILMD_02174	CDS	1920	dnaG	2.7.7.-	COG0358	DNA primase
GFGBILMD_02175	CDS	1296	dgt		COG0232	Deoxyguanosinetriphosphate triphosphohydrolase-like protein
GFGBILMD_02176	CDS	1458				hypothetical protein
GFGBILMD_02177	CDS	285	esxO			ESAT-6-like protein EsxO
GFGBILMD_02178	CDS	297	esxK_2			ESAT-6-like protein EsxK
GFGBILMD_02179	CDS	327				hypothetical protein
GFGBILMD_02180	CDS	1554	plcC	3.1.4.3	COG3511	Phospholipase C 3
GFGBILMD_02181	CDS	1566	plcB	3.1.4.3	COG3511	Phospholipase C 2
GFGBILMD_02182	CDS	1482	plcA	3.1.4.3	COG3511	Phospholipase C 1
GFGBILMD_02183	CDS	174				hypothetical protein
GFGBILMD_02184	CDS	1095				putative PPE family protein PPE38
GFGBILMD_02185	CDS	1209	dnaN		COG0592	Beta sliding clamp
GFGBILMD_02186	CDS	1158	recF		COG1195	DNA replication and repair protein RecF
GFGBILMD_02187	CDS	516				hypothetical protein
GFGBILMD_02188	CDS	2145	gyrB1	5.6.2.2		DNA gyrase subunit B
GFGBILMD_02189	CDS	2517	gyrA1	5.6.2.2		DNA gyrase subunit A
GFGBILMD_02190	CDS	915				putative protein
GFGBILMD_02191	tRNA	75				tRNA-Ile(gat)
GFGBILMD_02192	tRNA	74				tRNA-Ala(tgc)
GFGBILMD_02193	CDS	108				hypothetical protein
GFGBILMD_02194	CDS	438	cwsA			Cell wall synthesis protein CwsA
GFGBILMD_02195	CDS	549	ppiA	5.2.1.8	COG0652	Peptidyl-prolyl cis-trans isomerase A
GFGBILMD_02196	CDS	153				hypothetical protein
GFGBILMD_02197	CDS	360				hypothetical protein
GFGBILMD_02198	CDS	282	crgA			Cell division protein CrgA
GFGBILMD_02199	CDS	744				hypothetical protein
GFGBILMD_02200	CDS	699	trpG	4.1.3.27	COG0512	Anthranilate synthase component 2
GFGBILMD_02201	CDS	1881	pknB	2.7.11.1	COG0515	Serine/threonine-protein kinase PknB
GFGBILMD_02202	CDS	1296	pknA	2.7.11.1	COG0515	Serine/threonine-protein kinase PknA
GFGBILMD_02203	CDS	1476	pbpA		COG0768	Penicillin-binding protein A
GFGBILMD_02204	CDS	1410	rodA		COG0772	putative FtsW-like protein
GFGBILMD_02205	CDS	1536	pstP	3.1.3.16	COG0631	PP2C-family Ser/Thr phosphatase
GFGBILMD_02206	CDS	468	fhaB		COG1716	FHA domain-containing protein FhaB
GFGBILMD_02207	CDS	1566	fhaA		COG1716	FHA domain-containing protein FhaA
GFGBILMD_02208	tRNA	85				tRNA-Leu(cag)
GFGBILMD_02209	CDS	969	IMPDH	1.1.1.205		Inosine-5'-monophosphate dehydrogenase
GFGBILMD_02210	CDS	420	whiB5			Transcriptional regulator WhiB5
GFGBILMD_02211	CDS	771			COG1396	putative HTH-type transcriptional regulator
GFGBILMD_02212	CDS	858				NCBIFAM: enterotoxin EntFM
GFGBILMD_02213	CDS	363				putative protein
GFGBILMD_02214	CDS	1347				hypothetical protein
GFGBILMD_02215	CDS	318				hypothetical protein
GFGBILMD_02216	CDS	306				putative protein
GFGBILMD_02217	CDS	144				putative proteinA
GFGBILMD_02218	CDS	876				hypothetical protein
GFGBILMD_02219	CDS	330				putative protein
GFGBILMD_02220	CDS	2316	bioF2	2.3.1.47	COG0156	Putative 8-amino-7-oxononanoate synthase 2
GFGBILMD_02221	CDS	264	acpP			Acyl carrier protein
GFGBILMD_02222	CDS	396			COG3631	putative protein
GFGBILMD_02223	CDS	1689	menE_4	6.2.1.26		2-succinylbenzoate--CoA ligase
GFGBILMD_02224	CDS	774				putative protein
GFGBILMD_02225	CDS	1311			COG0477	putative MFS-type transporter
GFGBILMD_02226	CDS	633				hypothetical protein
GFGBILMD_02227	CDS	348				hypothetical protein
GFGBILMD_02228	CDS	933				Proline-rich 28 kDa antigen
GFGBILMD_02229	CDS	2877	leuS	6.1.1.4	COG0495	Leucine--tRNA ligase
GFGBILMD_02230	CDS	627				hypothetical protein
GFGBILMD_02231	CDS	735			COG1802	putative HTH-type transcriptional regulator
GFGBILMD_02232	CDS	795	rutA	1.14.99.46		Pyrimidine monooxygenase RutA
GFGBILMD_02233	CDS	678				hypothetical protein
GFGBILMD_02234	CDS	1104	ino1	5.5.1.4	COG1260	Inositol-3-phosphate synthase
GFGBILMD_02235	CDS	543				hypothetical protein
GFGBILMD_02236	CDS	870				putative protein
GFGBILMD_02237	CDS	414				putative protein
GFGBILMD_02238	CDS	2472	ponA1		COG0744	Penicillin-binding protein 1A
GFGBILMD_02239	CDS	1683				hypothetical protein
GFGBILMD_02240	CDS	639	inhA_1	4.2.1.103		Isonitrile hydratase
GFGBILMD_02241	CDS	291	rpsF		COG0360	30S ribosomal protein S6
GFGBILMD_02242	CDS	495	ssb		COG0629	Single-stranded DNA-binding protein
GFGBILMD_02243	CDS	255	rpsR1_1		COG0238	30S ribosomal protein S18 1
